Extension:      Description:                              Used tool(s):
=============================================================================================
.??_            Microsoft's Compressed ??? File           [7z]
.2fs            Puppy Linux Save State File               [losetup+mount]
.3fs            Puppy Linux Save State File               [losetup+mount]
.3gp            3GPP Multimedia File                      [avconv|ffmpeg]
.4fs            Puppy Linux Save State File               [losetup+mount]
.7z             7-Zip Compressed File                     [7z]
.7zip           7-Zip Compressed File                     [7z]
.7z.001         7-Zip Split Archive Part 1 File           [7z]
.a              Unix Static Library                       [ar|7z]
.a[0-9][0-9]    Multi-volume ARJ Compressed Archive       [arj|7z]
.a2theme        Aston 2 Theme File                        [unzip|7z]
.ace            WinAce Compressed File                    [unace]
.acp            Alfresco Content Package                  [unzip|7z]
.adz            Compressed Amiga Disk File                [g(un)zip]
.aes            AES Crypt Encrypted File                  [aescrypt]
.ai             Adobe Illustrator File (PS & PDF)         [{gs+pdftocairo}|pdftocairo]
.alz            ALZip Archive                             [unalz]
.ani            Windows Animated Cursor                   [<internal>]
.apk            Alpine Linux Package                      [g(un)zip+tar]
.apk            Android Package File                      [unzip|7z]
.AppImage       Subsurface Portable Linux Application     [mount|{tar+{g(un)zip|b(un)zip2|(un)xz|(un)compress}}]
.ar             Unix Static Library                       [ar|7z]
.arc            Compressed File Archive                   [(un)arc|nomarch]
.Arch00         F.E.A.R. Game Archive                     [internal]¹
.arj            ARJ Compressed Archive                    [arj|7z]
.ark            Compressed File Archive                   [(un)arc|nomarch]
.asc            GPG Symmetrically Enc. File ASCII Armored [gpg|gpg2]
.au             Steghide Embedded Data                    [steghide]
.avastsounds    Avast! Soundpack File                     [unzip|7z]
.avi            Audio Video Interleave File               [avconv|ffmpeg]
.azw2           Kindle Active Content App File            [unzip|7z]
.b64            Base64 MIME-Encoded File                  [base64]
.balz           Balz Compressed File                      [balz]
.bau            Apache OpenOffice AutoText File           [unzip|7z]
.bbb            Big Block BWT compressed File             [bbb]
.bfe            Bcrypt Encrypted File                     [bcrypt]
.bgz            Blood Frontier Map File                   [g(un)zip]
.bin            Binary Disc Image                         [poweriso]
.blend          Compressed Blender 3D Data File           [g(un)zip]
.bmp            Steghide Embedded Data                    [steghide]
.bmz            Portal Bonus Map Zip File                 [unzip|7z]
.bxy            NuFile Archive (apple ][) Data            [nulib|nulib2]
.bz             Bzip Compressed File                      [bunzip|b(un)zip2]
.bz2            Bzip2 Compressed File                     [b(un)zip2]
.bzip           Bzip Compressed File                      [bunzip|b(un)zip2]
.bzip2          Bzip2 Compressed File                     [b(un)zip2]
.cab            Windows Cabinet File                      [cabextract|7z]
.capx           Construct Compressed Project File         [unzip|7z]
.cb7            Comic Book 7-Zip Archive                  [7z]
.cba            Comic Book ACE Archive                    [unace]
.cbr            Comic Book RAR Archive                    [(un)rar|7z]
.cbt            Comic Book TAR File                       [tar]
.cbz            Comic Book Zip Archive                    [unzip|7z]
.cdmtz          Compressed ConceptDraw MINDMAP Template   [unzip|7z]
.cdmz           Compressed ConceptDraw MINDMAP Document   [unzip|7z]
.cfs            Compact File Set                          [mount+<internal>]
.cgz            Compressed CPIO Archive                   [g(un)zip+cpio]
.chm            Compiled HTML Help File                   [extract_chmLib|7z]
.chrt           KChart Chart                              [unzip|7z]
.cld            ClamAV Virus Database                     [tar+<internal>]
.cpgz           Compressed CPIO Archive                   [g(un)zip+cpio]
.cpio           Unix CPIO Archive                         [cpio]
.cpio.7z        7z Compressed CPIO Archive                [7z+cpio]
.cpio.bz        Bzip Compressed CPIO Archive              [b(un)zip2+cpio]
